Enlace,Titulo,Hashtags,Otros,Texto
https://youtu.be/eoTtj6mAKt4,Copiar subtítulos YouTube,#utilidades,,"Os voy a explicar como sacar el texto de subtítulo a un video de YouTube. Para quien no lo sepa aquí se pone y se quita el subtítulo. y aquí donde están los 3 puntitos se puede, entre otras cosas, abrir la transcripción. Pulsa aquí para tener o no los datos del tiempo. Puedes seleccionar para copiar y pegar donde quieras."
https://youtu.be/sqrmZQd3Vbs,Garantía Juvenil perfil oficial,#garantiajuvenil #sepe #sae,,"En este vídeo te resumimos los pasos que debes darar para obtener de una forma sencilla en Certificado de Garantía Juvenil que te acredita como beneficiario de este programa. Garantía Juvenil es un ograma destinado a conseguir la incorporación de jóvenes entre 16 y 30 años al Mercado de Trabajo, que cuenta con una importante financiación de fondos europeos y se encuentra enmarcado dentro de la estrategia de Emprendimiento y Empleo Joven puesta en marcha en nuestro país el año 2013. Más información en http://www.empleo.gob.es/es/garantiaj... y info.garantiajuvenil@meyss.es"
https://www.tiktok.com/@josealbertoxruz/video/6938397534465395973,Certificado digital,#certificadodigital,,
https://www.tiktok.com/@josealbertoxruz/video/6945168788614630661,Carnet de conducir en el movil,#dgt,,
https://www.tiktok.com/@josealbertoxruz/video/6947657151955488005,Como conseguir la clave pin,#clave,,
https://www.tiktok.com/@josealbertoxruz/video/6954421290753166597,Ayudas por desempleo si se acaba el paro,#sepe,,
https://www.tiktok.com/@josealbertoxruz/video/6956191990530723078,Vida laboral y cotización en el movil,#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/6984763942111300870,Pasaporte covid,#covid,,
https://www.tiktok.com/@josealbertoxruz/video/6961384096496880901,"Tarjeta sanitaria europea, cómo conseguirla",#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/6990465466741345541,Documentación para evitar multas,#dgt,,
https://www.tiktok.com/@josealbertoxruz/video/6998232260549872901,cuanto cobrarás cuando te jubiles y cuanto cobrarás,#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/7000829588494470406,Cómo se calcula el Ingreso Mínimo Vital,#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/7003059223160491270,Cursos homologados con certificado y gratuito,#sepe #sae,,
https://www.tiktok.com/@josealbertoxruz/video/7003429981183282437,Conseguir el número de la seguridad social,#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/7003799304376798469,Cómo echar el paro por internet,#sepe,,
https://www.tiktok.com/@josealbertoxruz/video/7010848026373672198,Cómo saber si tienes deudas con la seguridad social,#segsocial,,
https://www.tiktok.com/@josealbertoxruz/video/7011220743270731013,Bonificaciones a autónomos/as,,,
https://www.tiktok.com/@josealbertoxruz/video/7011590961952328966,Cómo coger cita presencial en el SEPE,#sepe,,
https://www.tiktok.com/@josealbertoxruz/video/7013455312896167173,Cómo solicitar el certificado de nacimiento,,,
https://www.tiktok.com/@josealbertoxruz/video/7018647052708056326,Cómo saber cuánto te queda de prestación por desempleo de forma online fácilmente,#sepe,,
https://www.tiktok.com/@josealbertoxruz/video/7026452949345848582,Cómo conseguir una copia oficial del título universitario,,,
https://www.tiktok.com/@josealbertoxruz/video/7029052381811838214,Cómo cambiar tus datos personales de la Seguridad Social,,,
https://www.tiktok.com/@josealbertoxruz/video/7034618032890825989,Cómo evitar que te envien mensajes Spam o llamadas comerciales no consentidas cuando estás descansando,,,
https://www.tiktok.com/@josealbertoxruz/video/7037217137332669702,Cómo calcular lo que cobrarás por la prestación por desempleo,,,
https://www.tiktok.com/@josealbertoxruz/video/7039449909598145797,Cómo saber cuánto cotizaste mes a mes,,,
https://youtu.be/ovuGdYdgEfU,Pedir el certificado digital,,,"Entra en la web de la fábrica nacional de moneda y timbre selecciona obtenga o renueve su certificado. pincha en persona física luego en obtener certificado software Hay 4 pasos. Primero Instala el programa que te indica En el paso 2 tendrás que poner tu dni, tu primer apellido y tu correo electrónico tendrás también que aceptar las condiciones dale a enviar petición. Recibirás en tu correo electrónico un código de 9 dígitos con el que te tendrás que presentar en una oficina de acreditación de identidad. Hay un buscador Ese sería el tercer paso. cuando lo hagas, recibirás las instrucciones a seguir para descargar el certificado digital."
https://youtu.be/BwlOpsR48-8,Solicitar prestación en el SEPE,,,"Es necesario tener instalada la última versión de AutoFirma disponible en http://firmaelectronica.gob.es/Home/Descargas.html Para obtener más información de cómo instalar AutoFirma, consulte la página de Preguntas Frecuentes sobre AutoFirma: https://sede.sepe.gob.es/portalSede/firma-electronica/preguntasfrecuentes/autofirma.html Puedes solicitar tu prestación por internet en el sepe, no es nada difícil. sepe.es sede electrónica identifícate certificado digital Pero a algunas personas no le funciona bien. Vamos a intentar ayudar con eso. Utiliza Chrome y certificado digital. Tienes que tener instalado el programa autofirma, en la descripción del video te dejaré escrito el link para que lo bajes y lo instales Tienes que tener habilitadas las ventanas emergentes. Te comento como se hace fácil. Entra en configuración, en buscar escribe emergente, y señala que los sitios puede enviar ventanas emergentes. Recuerda Windows 10, Chrome, certificado digital, autofirma y permitir ventanas emergentes, Ahora solicita tu prestación, será completar y dar a continuar en varios pasos. Inténtalo."
https://youtu.be/M6_qCD0Iwfc,Consultar prestación SEPE,,,"Vamos a consultar los datos de la prestación del sepe. En la web del sepe, señalamos personas consulte su prestación Luego al botón de consultar prestación. Hay que identificarse, voy a hacerlo con pin teléfono móvil Para ello pon el DNI, teléfono móvil y el captcha, entonces recibirás en tu teléfono móvil la contraseña que tendrás que introducir en la siguiente página. El sistema te muestra la última prestación que hayas tenido. Así puedes saber si la que has solicitado te la han aprobado ya."
https://youtu.be/UelWmzPVGM8,Certificados SEPE,,,"Vamos a ver cómo se saca un certificado del sepe con el móvil. Entramos en la web del sepe Señalamos ""personas"" Después obtener su certificado de prestaciones. Abajo hay un botón que pone obtención de certificado En este momento te tienes que identificar Yo lo voy a hacer con certificado digital pero puedes usar clave o Pin Teléfono Móvil Una vez te identifiques podrás elegir el certificado que necesites o quieras. Luego dile que quieres descargarlo de internet y luego a mostrar, ya lo tienes en tu móvil. Búscalo en la carpeta descargas de tu teléfono."
https://youtu.be/NKia8HQCvWM,Tramita,,,Colabora actualizando el Tramita https://sites.google.com/view/tramita
https://youtu.be/Zz8BZVlMtg4,Instalar certificado en el móvil,,,"Veamos cómo instalar el certificado digital
en el móvil.

Abre internet explorer.

Ve a herramientas, opciones de internet.
luego a contenido y después certificado

señala tu certificado digital, y marca exportar
tendrás que señalar exportar clave privada.

Pon una contraseña, ponle un nombre y grábalo.

Ese archivo envíalo de alguna manera al móvil
por whatsapp, correo o bluetooth

Ya en el móvil, pica en el y se extraerá,
te pedirá la contraseña.

Señala que es para VPN y aplicaciones.
Ya está instalado,

Ya puedo, por ejemplo, sacar mi vida laboral."
https://youtu.be/EbrG9A8_qqA,Publica tu currículum en la web del SAE,,,"Publica tu currículo.
Esta es una opción que no conoce mucha gente, las empresas no pueden consultar todos los
currículos de los demandantes de empleo. 
Solo pueden ver los que reciban en sus anuncios de empleo y los que publiquen los propios demandantes.

Te debe interesar que las ofertas te encuentren a ti.
Solo dale a publicar, ponle nombre a la publicación, la categoría en la que pueden buscar la empresa y el ámbito geográfico donde te interesa trabajar.

Puedes poner por ejemplo un currículo en la categoría construcción y otro en la categoría hostelería, para que la empresa tenga unos datos tuyos diferentes si buscan camareros o si buscan albañiles.
o si buscan albañiles."
https://youtu.be/JzMNzgtPgzU,Las alertas del SAE,,,"Veamos como funcionan las alertas. Sirve para que el sistema nos avise si entra  alguna oferta que nos pueda interesar  Podemos tener varias. vamos a crear una nueva para ver como funciona.  Tendremos que poner nombre a cada alerta, y señalar al menos la categoría que nos  interese, podemos poner una palabra clave o seleccionar un ámbito geográfico.  Podemos decir que nos avise por sms o correo electrónico.  Grabaremos y ya lo tenemos, cuando haya alguna oferta que cumpla los requisitos que hemos  puesto el sistema nos avisará."
https://youtu.be/DNZ2NPNM2Ao,Consultar y modificar datos en el SAE,,,"Ahora vamos a ver los datos que tiene el servicio andaluz de empleo sobre nosotros.  Estos datos son los que se usan para las ofertas en las que pone inscribirse y para cuando  el servicio andaluz de empleo hace una búsqueda de candidatos.  Entra en demanda de empleo y dentro de esto en consulta y modificación de la demanda.  Verás que hay datos Personales, Curriculares, Administrativos, Servicios y Empleo.  Dentro de los datos personales puedes cambiarlo todo, dirección, teléfono, correo electrónico,  etcétera.  En los datos curriculares, no puedes cambiar los títulos que tengas ni certificado de  profesionalidad, para eso tendrás que contactar con la oficina.  Pero idiomas, conocimientos informáticos, otros conocimientos, permisos de conducir  o vehículos si puedes anotarlo y se quedará registrado como acreditado verbalmente.  Los datos administrativos y de servicios no puedes cambiarlos y de los datos de Empleo,  solo puedes cambiar las disponibilidades y el ámbito, esto es la zona geográfica donde  quieres trabajar.  Si quieres cambiar ocupaciones solicitadas o titulación tendrás que contactar con la  oficina de empleo."
https://youtu.be/4N6Xk-ggEGc,Hacer y modificar currículum en el SAE,,,"Como hemos dicho antes hay ofertas en las
que nos inscribimos y hay otras donde enviamos

el currículum .

Vamos a ver como se hace y se modifica

Esto no te valdrá para las ofertas donde
pone ""inscribirse""

Una vez que entremos en nuestra área personal,
nos situamos en datos personales y los comprobamos

y rellenamos los datos , hay 7 pasos...

En algunos pasos puedes recuperar los datos
que ya tengas rellenos en tu ficha de demandante.

Ten paciencia, esto solo lo harás una vez
y luego solo cambiarás algo puntualmente

Puedes incluir también tu foto y escanear
algún documento que consideres importante

para tu candidatura.

Cuando lo tengas todo relleno, generas el
currículum le pones nombre y lo grabas.

Puedes tener más de uno por si quieres enviar
uno u otro según el puesto.

Puedes incluir ,o no, cada dato que has rellenado.

Las modificaciones son solo mostrar, o no
mostrar los datos que has rellenado, y el

orden en el que quieres que salgan.

De tal forma que si quieres modificar el currículum
tendrás que modificar los datos y después

incluirlo en este

Siempre puedes borrarlo y generar de nuevo.

Cuando te apuntas a una oferta, en ese mismo
momento le llega a la empresa tus datos y

tu interés en participar en dicha oferta."
https://youtu.be/oMjwl8doAbY,Apuntarse a ofertas sae,,,"Esta es la pantalla principal de búsqueda
de ofertas o anuncios de empleo

Juega con ellas para familiarizarte.
Puedes buscar por categoría y subcategoría,

pero si alguien ha puesto la oferta en otra
categoría puede ser que no encuentres alguna

oferta que te interese.

Yo recomiendo buscar poniendo el texto que
quieras buscar, incluso pon el texto con tilde

y sin tilde.

Busca poniendo el nombre de la localidad o
provincia que te interese o la ocupación

que quieras.

Ten en cuenta que hay dos clases de ofertas,
en unas envías currículum y en otras puedes

inscribirte.

En estas últimas antes de inscribirte consulta
los detalles de la oferta, para ver si hay

algún requisito valorable que tengas pero
no esté registrado en tu ficha.

Arreglarlo antes de apuntarte te dará ventaja.

Si intentas apuntarte y no te deja, puedes
comparar los datos de la oferta y los de tu

demanda para ver que es lo que no cuadra.

Un truco:

Señala Ofertas gestionadas por oficinas

Busca ene, dos puntos, espacio, seguido del
último dígito de tu DNI

Busca también con ese número menos 1

Saldrán las ofertas donde tengas mas oportunidad
en el desempate.

Apunta las búsquedas que haces habitualmente
para crear alertas. Hay dos tipos de ofertas, Las que empiezan por 01, que son ofertas en las que te puedes inscribir si los datos que constan en tus datos de demanda cumplen los requisitos de la oferta. (si no deja que nos inscribamos tendremos que mirar el motivo, lo veremos en el video donde se explica como consultar y modificar la demanda) Y las que no empiezan por 01 en las que envías el currículum que elaboras en esta misma página del SAE a la empresa que pone la oferta. Lo del truco de buscar ""n: x"" siendo x el último digito del DNI es porque la forma de desempatar es utilizando el DNI leído a la inversa (a este número le llamo IND) , si el numero de desempate de la oferta es inferior en poco a tu IND tienes mas posibilidades de salir como candidato y tienes mas posibilidades cuanto mas cerca por debajo está el numero de desempate del IND. En todas las ofertas aparece un texto que dice ""Dígito numérico aleatorio de desempate en la ordenación: "" pero con buscar ""n: "" nos vale."
https://youtu.be/yWZ_KfGii6o,Cómo utilizar la pagina web del Servicio Andaluz de empleo. (introducción),,,Apuntarse a ofertas en difusión https://youtu.be/oMjwl8doAbY Hacer y modificar el Currículum https://youtu.be/4N6Xk-ggEGc Consultar y modificar mis datos del SAE https://youtu.be/DNZ2NPNM2Ao Poner alertas https://youtu.be/JzMNzgtPgzU Publicar tu currículum https://youtu.be/EbrG9A8_qqA
https://youtu.be/1pQTpxt2uSM,Subir a YouTube,,,"Para subir un vídeo a YouTube tenemos que
darle a crear subir video, es ese icono con

un signo más dentro de una cámara de cine.

Arrastramos el archivo sobre el área que
nos indica, y ya empieza a subir.

Mientras, nos pide un título y una descripción
de lo que estamos publicando

Pregunta si es un video dirigido a niños.
En este caso no lo es.

Damos a siguiente

Podemos añadir subtítulos pero yo prefiero
esperar para modificar sobre el que hace YouTube

automáticamente y eso tarda unos minutos.

Así que damos siguiente un par de veces.

Nos preguntará si queremos que sea privado,
oculto o público.

Señala privado para comprobarlo antes.

Dale a guardar y ya puedes verlo.

Si está todo correcto, ponlo como público.

Sugiero que edites los subtítulos para corregir
posibles errores o si tienes el texto en un

archivo puedes hacer un subtítulo nuevo"
https://youtu.be/WXFX3XnSTiQ,Cómo hacer tus propias croquetas de conocimiento,,,"Para hacer una croqueta de conocimiento de
este tipo utilizo ACTIVE PRESENTER

Abro nuevo proyecto en blanco.

Selecciono las pistas de texto y las borro.

Luego voy a cada una de las imágenes que
quiero mostrar, en el orden que quiero mostrar

les doy a imprimir pantalla y pego en la parte
central del proyecto.

Cada vez que hago esto aparece una pista de
imagen nueva.

Ponlas una a continuación de la otra, donde
finaliza una, pon la siguiente.

Repite todas las veces que necesites.

Inserta audio y rellenas en ""text to speech""
el texto que quieres que lea el sintetizador

de voz.

Generas el audio y mueve las imágenes para
que coincida con el texto leído.

Tendrás que repetir varias veces el ciclo
cambiar el texto, generar audio, previsualizar

y cambiar la duración de las imágenes

Luego expórtalo como video, ponle nombre
y sube a YouTube.

Guarda el texto que has puesto para generar
el audio porque te puede servir para los subtítulos

en YouTube."
https://youtu.be/x35KHsSYbug,"COMO HACER PRORROGA SUBSIDIO, (SEPE) PASO A PASO, SIN NECESIDAD DE NINGUN TIPO DE CERTIFICADO.",,,"TRAMITAR LA PRESOLICITUD SIN TENER CLAVE PERMANENTE NI CERTIFICADO DIGITAL, YA SEA PRESTACIÓN CONTRIBUTIVA, SUBSIDIO, COMPATIBILIDADES, BAJAS, CAMBIO DE CUENTA, PRORROGAS, INCIDENCIAS, PAGO ÚNICO, COMPATIBILIDAD DE AUTÓNOMO CON LA PRESTACIÓN, DECLARACIÓN DE RENTAS, PATERNIDAD, MATERNIDAD, INCAPACIDAD TEMPORAL, EXCEDENCIA, O CUALQUIER INCIDENCIA QUE USTED TENGA CON EL SERVICIO PÚBLICO DE EMPLEO ESTATAL, CUMPLIMENTANDO EL FORMULARIO Y DANDOLE A ENVIAR, SE REGISTRA EN EL SERVICIO ELECTRÓNICO Y SE LO RESUELVEN EN SU OFICINA, NO DEJES DE VERLO, TE ACLARÁ LAS DUDAS, COMPARTE EL ENLACE SI CONOCES A ALGUIEN QUE VA PERDIDO, SALUDOS Y ESPERO AYUDAR A QUE SEA MÁS FACIL LA TRAMITACIÓN."
https://youtu.be/GlPtGvn-mg8,"PRE-SOLICITUD PRESTACIÓN INDIVIDUAL Y OTROS TRÁMITES, PASO A PASO.",,,"TUTORIAL ACTUALIZADO A DIA 22/05/2021, PRESTACIONES POR DESEMPLEO, SUBSIDIOS Y OTRAS AYUDAS , COMO SOLICITAR SIN CERTIFICADO, CLAVE PERMANENTE, O CLAVE PIN. SOLO CON INTERNET Y TUS DATOS."
https://youtu.be/HtjKgfk-8-U,"COMO PRESENTAR DECLARACIÓN RENTAS SEPE PASO A PASO, SIN CERTIFICADO DIGITAL.",,,"TRAMITAR LA PRESOLICITUD SIN TENER CLAVE PERMANENTE NI CERTIFICADO DIGITAL, YA SEA PRESTACIÓN CONTRIBUTIVA, SUBSIDIO, COMPATIBILIDADES, BAJAS, CAMBIO DE CUENTA, PRORROGAS, INCIDENCIAS, PAGO ÚNICO, COMPATIBILIDAD DE AUTÓNOMO CON LA PRESTACIÓN, DECLARACIÓN DE RENTAS, PATERNIDAD, MATERNIDAD, INCAPACIDAD TEMPORAL, EXCEDENCIA, O CUALQUIER INCIDENCIA QUE USTED TENGA CON EL SERVICIO PÚBLICO DE EMPLEO ESTATAL, CUMPLIMENTANDO EL FORMULARIO Y DANDOLE A ENVIAR, SE REGISTRA EN EL SERVICIO ELECTRÓNICO Y SE LO RESUELVEN EN SU OFICINA, NO DEJES DE VERLO, TE ACLARÁ LAS DUDAS, COMPARTE EL ENLACE SI CONOCES A ALGUIEN QUE VA PERDIDO, SALUDOS Y ESPERO AYUDAR A QUE SEA MÁS FACIL LA TRAMITACIÓN."
https://youtu.be/4DvUr2NLNbM,Cómo consultar estado prestación SEPE,,,"Al solicitar una prestación en el SEPE, podemos conocer el estado de dicha prestación. Para ello, usaremos el certificado digital o pin móvil."
https://youtu.be/QBQFAJY5WLI,Aplicación informática Gestión Derechos Pago Básico. Registro telemático,,,"en el siguiente vídeo detallamos cómo
realizar el registro telemático de una
cesión con solicitud a la reserva
nacional
[Música]
los impresos definitivo descargado
durante la fase de grabación y
posteriormente firmado junto con la
documentación aportar en registros se
escáner han fusionado en un solo archivo
en formato pdf el cual finalmente se
renombrará con el código de 23 dígitos
de correspondiente impreso que se
ilustra en pantalla este archivo lo
guardaremos en una ruta conocida de
nuestro equipo en pantalla se muestra de
dónde es tener el código de 23 dígitos
con el que se va a nombrar el archivo
pdf que vamos a registrar
seguidamente se lucha cómo elaborar el
fichero pdf objeto del registro
telemático primero descargaremos el
impreso a firmar segundo se firmará los
impresos descargados y se escanearán
[Música]
tercero escanearemos la documentación al
incorporar junto con los impresos
[Música]
y
y por cuarto y último fusión haremos en
un solo pdf los impresos y la
documentación que nombraremos dígitos
referidos
el tamaño del archivo pdf que se vaya a
registrar no podrá superar los 25 megas
en caso es el mayor fracción haremos la
documentación en varios archivos pdf el
primero de ellos que se registrará en el
mismo acto incluirán los impresos
firmados y parte de la documentación no
superando en tamaño al límite máximo el
resto de documentación se incluirá en
sucesivo archivos como anexos de
documentación al primer registro
siguiendo la secuencia que abordaremos
en otro vídeo
deberá tenerse en consideración que para
proseguir con el registro telemático del
segundo y sucesivo anexo habrá que
respetar la secuencia del orden de la
documentación vinculada evitando que se
suba de forma desordenada
el proceso de registro se realiza desde
la opción menú gestión de comunicaciones
registro telemático nuevos registros en
la pantalla inicial de registro podremos
consultar la matriz de compatibilidad de
dos firmas según la versión del
navegador y según el sistema operativo
instalado desde esta pantalla también
podremos descargar e instalar o
actualizar el software necesario para
firma
para iniciar el registro deberemos
pulsar el botón continuar registro
pero seguiremos seleccionando el
certificado para firma
la aplicación comprobará que el dni de
la firma coincide con el de usuario que
se selecciona en grabación como
motorizado para registrar
telemáticamente y recordamos podría ser
a su vez distinto al de grabación nos
remitimos ejecutoriales una licencia de
grabación
a aquellas entidades que le informan del
certificado de personas jurídicas para
materializar la firma esta electro
telemática
necesitamos usuario de la aplicación de
pago básico que debe estar asociado a la
persona vinculada a dicho certificado
dicho usuario sea el que
sistemáticamente se seleccione
finalización de la grabación con
autorizado para la referida en firma y
registro
retomando la secuencia buscaremos dentro
de nuestro directorio el fichero punto
pdf con la documentación del trámite que
vamos a registrar y pulsaremos registrar
pdf
[Música]
[Música]
seleccionaremos de nuevo el certificado
para firmar finalizando el registro
[Música]
[Música]
completada el proceso en pantalla se
mostrará el trato de registro desde aquí
también podremos imprimir justificante
del mismo
como recordatorio informamos que tras la
materialización de la presentación
telemática del correspondiente trámite
no es necesario reiterarlo en soporte
papel con la aportación de la misma
documentación en un registro ordinario
en todo caso el justificante de registro
telemático y la documentación acompañada
deberá estudiarse por el interesado para
ulteriores comprobaciones
para consultar los registros telemáticos
realizados por un usuario accederemos a
gestión de comunicaciones de ejes o
telemático consultar en la siguiente
ventana se podrán establecer los
criterios de búsqueda que aparecen en
pantalla pudiendo seleccionarse uno o
varios de ellos y a continuación
pulsaremos consultarlos
[Música]
"
